-8016,1008,12048,550,-631,-998
-7536,960,16096,334,-420,-940
-4752,-816,15616,-42,-81,-695
320,-3536,17392,-260,104,-515
3744,-6256,13776,-362,251,-349
6176,-4736,15472,-402,251,-303
8880,-8160,8480,-543,290,-10
12176,-10736,1552,-543,281,152
12480,-7248,-8416,-502,46,375
9280,-3280,-12160,-382,-197,463
4976,-224,-15984,-229,-310,505
-800,-992,-18544,-65,-304,551
-9104,-2272,-13440,223,-271,547
-9696,-1600,-13184,370,-238,503
-11024,2112,-14320,420,-351,434
-10544,8032,-9824,413,-549,272
-11040,11248,-4592,392,-636,7
-8512,14080,-672,280,-648,-148
-3408,16944,4656,86,-636,-230
3952,15440,-1216,-135,-659,-109
8064,12032,-8816,-220,-656,64
8368,8752,-10848,-250,-609,215
10784,5824,-11488,-303,-517,309
12832,-1040,-9824,-408,-262,413
13552,-4880,-5616,-504,-152,354
12784,-8000,2240,-594,45,210
8288,-10544,11680,-526,231,-131
2624,-10320,11920,-366,312,-279
-2816,-9280,14144,-161,289,-408
-7248,-7008,14800,-24,250,-455
-12528,-6752,7936,391,201,-403
-14400,-7952,2800,521,295,-254
-12576,-10320,3296,471,415,-187
-10240,-12160,-2624,238,615,49
-6064,-13456,-8512,71,604,230
192,-14384,-8432,-176,572,221
6048,-12080,-9344,-362,463,244
12880,-5392,-6480,-610,95,102
15360,-416,1648,-541,69,-190
15072,-944,5808,-472,145,-259
11360,-208,8496,-309,14,-414
7680,1472,13408,-104,-229,-471
6240,2768,14160,-25,-326,-457
3344,1936,15664,70,-292,-473
1968,4496,15392,132,-415,-419
4848,6096,13856,20,-491,-370
7296,5376,14736,-93,-541,-311
8096,5232,11952,-279,-508,-244
7040,2528,14880,-320,-387,-315
3440,-480,17776,-269,-240,-408
-6224,2064,16256,-28,-278,-473
-11056,9584,8624,213,-566,-299
-10496,12080,5392,220,-651,-183
-6800,15584,-752,80,-714,-24
-4544,16416,-3696,-19,-716,53
-816,16000,-2448,-159,-681,32
-960,13296,9552,-137,-478,-345
-8224,4704,14624,65,-151,-506
-10544,-736,13568,253,107,-480
-10544,-8048,10144,281,349,-376
-3168,-10928,10992,27,455,-338
3728,-8944,12432,-388,279,-284
8352,-4528,12224,-516,147,-208
13168,-2608,11536,-595,79,-83
14272,-1248,5136,-620,25,98
15088,-736,2816,-605,-59,189
15264,624,1152,-548,-105,311
16192,1168,-3200,-516,-108,358
13408,-32,-6240,-360,38,489
11760,-1696,-10352,-271,20,535
10928,-1920,-11808,-193,51,559
7056,-448,-14576,-121,31,577
688,-544,-17120,263,-18,560
-4192,3184,-17504,417,-52,496
